Depth	TVD	ROP	WOB	RPM   Torque  Pump Pres	GPM	Temp In	Temp Out		
460	459.9	28.46	3.91	62	2	734	565	97	85
461	460.9	26.1	2.04	62	2	683	539	97	85
462	461.9	30.52	3.05	62	3	657	516	97	85
463	462.9	21.44	3.33	61	3	672	518	97	85
464	463.9	9.56	2.59	61	3	602	496	97	85
465	464.9	14.57	2.19	62	2	594	496	97	85
466	465.9	11.24	0.96	60	3	630	509	97	85
467	466.9	16.72	2.69	60	3	696	544	97	85
468	467.9	31.98	0.33	60	3	678	545	97	86
469	468.9	29.54	0.08	60	2	695	544	97	86
470	469.9	13.48	0.56	58	3	709	551	97	86
471	470.9	62.46	4.84	51	4	1238	750	97	86
472	471.9	37.38	3.27	57	5	1276	769	97	86
473	472.9	23.13	3.24	58	4	1269	768	97	86
474	473.9	31.25	3.88	57	4	1283	769	97	86
475	474.9	22.86	10.73	42	3	1322	715	97	86
476	475.9	40.58	16.15	33	3	1470	728	97	86
477	476.9	44.56	17.04	33	3	1473	728	97	86
478	477.9	57.43	8.99	42	2	593	291	97	86
479	478.9	56.4	6.27	45	2	580	505	97	86
480	479.9	48.62	5.96	55	2	750	565	97	86
481	480.9	51.2	5.64	56	3	750	565	97	86
482	481.9	41.36	5.32	56	2	760	565	97	86
483	482.9	38.6	5.21	57	3	770	565	97	86
484	483.9	37.75	5.42	42	3	750	565	97	86
485	484.9	35.94	4.69	39	3	770	565	97	86
486	485.9	34.12	4.75	38	3	880	606	97	86
487	486.9	31.24	4.32	40	2	900	625	97	86
488	487.9	31.56	3.21	39	2	880	606	98	86
489	488.9	30.85	2.96	38	2	900	606	98	86
490	489.9	28.64	3.14	42	3	900	606	98	86
491	490.9	27.64	4.26	45	2	880	606	98	86
492	491.9	26.32	5.13	50	2	940	606	98	86
493	492.9	27.57	5.03	52	2	920	658	98	86
494	493.9	28.64	5.42	58	2	930	658	98	86
495	494.9	26.35	5.36	59	3	920	658	98	86
496	495.9	25.41	5.37	58	2	910	606	98	86
497	496.9	24.31	6.34	59	3	900	606	98	86
498	497.9	28.94	6.49	58	4	921	635	98	86
499	498.9	29.41	5.44	57	5	911	650	98	86
