Depth	TVD	ROP  Gas(units)	C1(PPM)	C2	C3	iC4	nC4	C5	
460	459.9	28.46	1	99	0	0	0	0	0
461	460.9	26.1	1	99	0	0	0	0	0
462	461.9	30.52	1	99	0	0	0	0	0
463	462.9	21.44	2	198	0	0	0	0	0
464	463.9	9.56	2	198	0	0	0	0	0
465	464.9	14.57	2	198	0	0	0	0	0
466	465.9	11.24	2	198	0	0	0	0	0
467	466.9	16.72	3	297	0	0	0	0	0
468	467.9	31.98	2	198	0	0	0	0	0
469	468.9	29.54	2	198	0	0	0	0	0
470	469.9	13.48	2	198	0	0	0	0	0
471	470.9	62.46	2	198	0	0	0	0	0
472	471.9	37.38	3	297	0	0	0	0	0
473	472.9	23.13	2	198	0	0	0	0	0
474	473.9	31.25	2	198	0	0	0	0	0
475	474.9	22.86	2	198	0	0	0	0	0
476	475.9	40.58	2	198	0	0	0	0	0
477	476.9	44.56	2	198	0	0	0	0	0
478	477.9	57.43	3	297	0	0	0	0	0
479	478.9	56.4	3	297	0	0	0	0	0
480	479.9	48.62	3	297	0	0	0	0	0
481	480.9	51.2	2	198	0	0	0	0	0
482	481.9	41.36	2	198	0	0	0	0	0
483	482.9	38.6	2	198	0	0	0	0	0
484	483.9	37.75	2	198	0	0	0	0	0
485	484.9	35.94	3	297	0	0	0	0	0
486	485.9	34.12	3	297	0	0	0	0	0
487	486.9	31.24	3	297	0	0	0	0	0
488	487.9	31.56	3	297	0	0	0	0	0
489	488.9	30.85	4	396	0	0	0	0	0
490	489.9	28.64	4	396	0	0	0	0	0
491	490.9	27.64	5	495	0	0	0	0	0
492	491.9	26.32	5	495	0	0	0	0	0
493	492.9	27.57	4	396	0	0	0	0	0
494	493.9	28.64	4	396	0	0	0	0	0
495	494.9	26.35	5	495	0	0	0	0	0
496	495.9	25.41	5	495	0	0	0	0	0
497	496.9	24.31	6	594	0	0	0	0	0
498	497.9	28.94	6	594	0	0	0	0	0
499	498.9	29.41	7	693	0	0	0	0	0
500	499.9	33.14	8	792	0	0	0	0	0
501	500.9	19.71	9	891	0	0	0	0	0
502	501.9	18.99	10	990	0	0	0	0	0
503	502.9	18.88	9	891	0	0	0	0	0
504	503.9	17.81	8	792	0	0	0	0	0
505	504.9	28.08	7	693	0	0	0	0	0
506	505.9	18.15	7	693	0	0	0	0	0
507	506.9	10.78	6	594	0	0	0	0	0
508	507.9	12.44	5	495	0	0	0	0	0
509	508.9	23.32	5	495	0	0	0	0	0
510	509.9	15.48	5	495	0	0	0	0	0
511	510.9	9.65	5	495	0	0	0	0	0
512	511.9	7.56	4	396	0	0	0	0	0
513	512.9	8.12	4	396	0	0	0	0	0
514	513.9	42.92	4	396	0	0	0	0	0
515	514.9	31.92	4	396	0	0	0	0	0
516	515.9	15.8	3	297	0	0	0	0	0
517	516.9	34.56	3	297	0	0	0	0	0
518	517.9	31.53	3	297	0	0	0	0	0
519	518.9	32.93	3	297	0	0	0	0	0
520	519.9	28.68	3	297	0	0	0	0	0
521	520.9	28.38	4	396	0	0	0	0	0
522	521.9	25.31	4	396	0	0	0	0	0
523	522.9	29.14	4	396	0	0	0	0	0
524	523.9	22.05	3	297	0	0	0	0	0
525	524.9	24.25	3	297	0	0	0	0	0
526	525.9	29.9	3	297	0	0	0	0	0
527	526.9	46.41	3	297	0	0	0	0	0
528	527.9	34.29	3	297	0	0	0	0	0
529	528.9	27.58	2	198	0	0	0	0	0
530	529.9	25.53	2	198	0	0	0	0	0
531	530.9	19	3	297	0	0	0	0	0
532	531.9	25.72	3	297	0	0	0	0	0
533	532.9	24.39	3	297	0	0	0	0	0
534	533.9	36.96	4	396	0	0	0	0	0
535	534.9	31.09	6	594	0	0	0	0	0
536	535.9	29.88	7	693	0	0	0	0	0
537	536.9	29.46	8	792	0	0	0	0	0
538	537.9	34.44	8	792	0	0	0	0	0
539	538.9	47.89	7	693	0	0	0	0	0
540	539.9	17.31	6	594	0	0	0	0	0
541	540.9	17	5	495	0	0	0	0	0
542	541.9	19.52	6	594	0	0	0	0	0
543	542.9	23.58	7	693	0	0	0	0	0
544	543.9	12.65	6	594	0	0	0	0	0
545	544.9	19.65	6	594	0	0	0	0	0
546	545.9	23.45	5	495	0	0	0	0	0
547	546.9	31.57	5	495	0	0	0	0	0
548	547.9	45.91	5	495	0	0	0	0	0
549	548.9	43.18	4	396	0	0	0	0	0
550	549.9	31.48	4	396	0	0	0	0	0
551	550.9	20.46	5	495	0	0	0	0	0
552	551.9	21.76	5	495	0	0	0	0	0
553	552.9	39.78	5	495	0	0	0	0	0
554	553.9	96.65	5	495	0	0	0	0	0
555	554.9	155.68	4	396	0	0	0	0	0
556	555.9	175.14	4	396	0	0	0	0	0
557	556.9	85.34	3	297	0	0	0	0	0
558	557.9	30.79	3	297	0	0	0	0	0
559	558.9	10.67	4	396	0	0	0	0	0
560	559.9	31.21	3	297	0	0	0	0	0
561	560.9	30.22	4	396	0	0	0	0	0
562	561.9	25.17	5	495	0	0	0	0	0
563	562.9	15.64	6	594	0	0	0	0	0
564	563.9	10.47	7	693	0	0	0	0	0
565	564.9	48.45	6	594	0	0	0	0	0
566	565.9	41.58	6	594	0	0	0	0	0
567	566.9	31.13	7	693	0	0	0	0	0
568	567.9	19.35	8	792	0	0	0	0	0
569	568.9	29.53	9	891	0	0	0	0	0
570	569.9	30.93	9	891	0	0	0	0	0
571	570.9	26.84	10	990	0	0	0	0	0
572	571.9	24.67	13	1287	0	0	0	0	0
573	572.9	13.86	14	1386	0	0	0	0	0
574	573.9	18.65	12	1188	0	0	0	0	0
575	574.9	26.22	10	990	0	0	0	0	0
576	575.9	18.13	9	891	0	0	0	0	0
577	576.9	17.59	9	891	0	0	0	0	0
578	577.9	28.33	8	792	0	0	0	0	0
579	578.9	28.77	10	990	0	0	0	0	0
580	579.9	31.02	11	1089	0	0	0	0	0
581	580.9	33.28	12	1188	0	0	0	0	0
582	581.9	28.54	13	1287	0	0	0	0	0
583	582.9	28.72	14	1386	0	0	0	0	0
584	583.9	20.12	18	1782	0	0	0	0	0
585	584.9	15.59	32	3168	0	0	0	0	0
586	585.9	60.9	24	2376	0	0	0	0	0
587	586.9	35.7	21	2079	0	0	0	0	0
588	587.9	28.59	18	1782	0	0	0	0	0
589	588.9	25.63	17	1683	0	0	0	0	0
590	589.9	26.74	15	1485	0	0	0	0	0
